,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
rikitea,pf,12/9/2017,12/9/2017 14:47,36,99,-23.12,-134.97,78.23,5.97
puerto ayora,ec,12/9/2017,12/9/2017 14:00,75,83,-0.74,-90.35,73.4,12.75
busselton,au,12/9/2017,12/9/2017 14:47,0,87,-33.65,115.33,72.02,12.01
cabo san lucas,mx,12/9/2017,12/9/2017 14:47,32,100,22.89,-109.91,76.16,15.82
bredasdorp,za,12/9/2017,12/9/2017 14:00,0,49,-34.53,20.04,71.6,17.22
anadyr,ru,12/9/2017,12/9/2017 14:00,90,84,64.75,177.48,8.6,4.47
ribeira grande,pt,12/9/2017,12/9/2017 14:30,20,83,38.52,-28.7,69.8,2.24
talnakh,ru,12/9/2017,12/9/2017 14:47,80,77,69.49,88.4,7.31,18.28
tiksi,ru,12/9/2017,12/9/2017 14:47,44,67,71.69,128.87,-14.74,3.85
huarmey,pe,12/9/2017,12/9/2017 14:47,36,77,-10.07,-78.15,68.42,3.4
sibolga,id,12/9/2017,12/9/2017 14:47,92,100,1.74,98.78,67.66,1.28
harlingen,nl,12/9/2017,12/9/2017 14:25,90,86,53.17,5.42,41,16.11
castro,cl,12/9/2017,12/9/2017 14:47,88,97,-42.47,-73.77,54.47,6.87
hermanus,za,12/9/2017,12/9/2017 14:47,0,53,-34.42,19.23,69.32,12.8
kinablangan,ph,12/9/2017,12/9/2017 14:47,88,100,7.69,126.55,81.61,1.28
corrente,br,12/9/2017,12/9/2017 14:47,56,57,-3.74,-43.34,91.19,11.01
okato,nz,12/9/2017,12/9/2017 14:47,88,96,-39.2,173.88,65.5,13.13
luanda,ao,12/9/2017,12/9/2017 14:00,75,62,-8.84,13.23,86,13.87
jamestown,sh,12/9/2017,12/9/2017 14:47,48,100,-15.94,-5.72,68.83,11.9
san felipe,mx,12/9/2017,12/9/2017 13:44,40,35,21.48,-101.22,41,5.82
kitgum,ug,12/9/2017,12/9/2017 14:47,56,28,3.28,32.89,87.95,5.64
souillac,mu,12/9/2017,12/9/2017 14:00,40,69,-20.52,57.52,80.6,11.41
mahebourg,mu,12/9/2017,12/9/2017 14:00,40,69,-20.41,57.7,80.6,11.41
hithadhoo,mv,12/9/2017,12/9/2017 14:47,0,100,-0.6,73.08,81.65,8.55
ushuaia,ar,12/9/2017,12/9/2017 14:00,75,70,-54.8,-68.3,42.8,13.87
hobart,au,12/9/2017,12/9/2017 14:00,40,54,-42.88,147.33,59,13.87
kahului,us,12/9/2017,12/9/2017 13:56,1,88,20.89,-156.47,64.4,5.82
cape town,za,12/9/2017,12/9/2017 14:00,0,49,-33.93,18.42,71.6,35.57
saint-philippe,re,12/9/2017,12/9/2017 14:00,20,65,-21.36,55.77,80.6,17.22
vaini,to,12/9/2017,12/9/2017 14:00,20,88,-21.2,-175.2,75.2,21.52
palaia fokaia,gr,12/9/2017,12/9/2017 14:20,40,48,37.72,23.95,62.6,17.22
