Format,Revised_Format,Target_format
,Other,No
1950s Oldies,Oldies,No
1960s and 1970s Oldies,Oldies,No
"AAA, progressive, blues, R&B, jazz & folk",Jazz,No
AAA/NPR News,Talk,No
AC/Talk,Talk,No
Active rock,Rock,No
Adult Standards,Standards,No
Adult album alternative,Alternative,No
Adult contemporary,Contemporary,No
Adult hits,Top40,No
Album Adult Alternative,Alternative,No
Album Rock,Rock,No
Album-oriented rock,Rock,No
Alternative radio,Alternative,No
Alternative rock,Rock,No
Americana,Rock,No
Bollywood (Indian) Music,Ethnic,No
Campus radio,Standards,No
Catholic,Religious,No
Christian,Religious,No
Classic country,Country,Yes
Classic hip-hop,Urban,No
Classic hits,Top40,No
Classic rock,Rock,No
Classical,Classical,No
Classical music,Classical,No
College,Other,No
Contemporary Christian,Religious,No
Country,Country,Yes
Country music,Country,Yes
Ethnic,Ethnic,No
Freeform,Variety,No
Freeform/Alternative,Alternative,No
Full service,Variety,No
Full service/news/talk,Talk,No
Full-service,Variety,No
Full-service/classic hits,Variety,No
Hip-hop,Urban,No
Hispanic,Spanish,No
Hot AC,Contemporary,No
Hot adult contemporary,Contemporary,No
Independent,Other,No
Jazz,Jazz,No
"Jazz, Ethnic",Jazz,No
Jazz/Community,Jazz,No
Jazz/mixed,Jazz,No
Mainstream jazz,Jazz,No
Mainstream rock,Rock,No
Modern rock,Rock,No
NPR,Talk,No
News radio,Talk,No
News/Talk,Talk,No
News/Talk Information,Talk,No
News/Talk radio,Talk,No
News/Talk/Public radio,Talk,No
Oldies,Oldies,No
Other,Other,No
Public radio,Talk,No
Regional Mexican,Spanish,No
Religious,Religious,No
Religious (Bible Broadcasting Network),Religious,No
Religious (CSN International),Religious,No
Religious (Catholic),Religious,No
Religious Broadcasting,Religious,No
Religious Teaching,Religious,No
Rhythmic Top 40,Top40,No
Rhythmic contemporary,Contemporary,No
Rock,Rock,No
Rock (weekdays) & Talk/Variety (weekends),Rock,No
Rock/Classic rock,Rock,No
Silent,Other,No
Smooth jazz/Blues,Jazz,No
Soft adult contemporary,Contemporary,No
Soft oldies,Oldies,No
Spanish,Spanish,No
Spanish Christian,Spanish,No
Spanish Hits,Spanish,No
Spanish Religious,Spanish,No
Spanish/Adult Contemporary,Spanish,No
Sports,Sports,Yes
Sports (ESPN),Sports,Yes
Sports (FSR),Sports,Yes
Sports radio,Sports,Yes
Sports talk,Sports,Yes
Sports/Talk,Sports,Yes
Stunting,Urban,No
Talk,Talk,No
Talk radio,Talk,No
Talk radio (daytime) & Oldies (nights/weekends),Oldies,No
Talk/Variety,Talk,No
Top 40,Top40,No
Top 40 Mainstream,Top40,No
Top 40/CHR,Top40,No
Urban adult contemporary,Urban,No
Urban contemporary,Urban,No
Urban oldies,Oldies,No
Variety,Variety,No
Variety/Pacifica,Variety,No
World Ethnic,Ethnic,No
Contemporary Christian (K-LOVE),Religious,No
Top 40 (CHR),Top40,No
Standards,Other,No
"R&B, Motown oldies, blues, gospel music, and sports",Variety,No
Urban Gospel,Religious,No
Smooth Jazz,Jazz,No
Religious Talk (AFR),Religious,No
Mainstream urban,Urban,No
Inspirational (AFR),Religious,No
Gospel music,Religious,No
Religious (AFR),Religious,No
Christian Contemporary,Religious,No
Religious (Family Radio),Religious,No
"Urban Contemporary, Gospel",Religious,No
Mainstream Urban/Rhythmic Contemporary,Contemporary,No
Public radio; News Talk Information,Talk,No
Christian Radio,Religious,No
Southern Gospel,Religious,No
Southern Gospel (The Life FM),Religious,No
Christian/Southern Gospel,Religious,No
Southern gospel/Religious,Religious,No
Christian ministry,Religious,No
Urban AC/Southern Blues,Urban,No
Urban Talk,Urban,No
Country/Southern Gospel,Country,Yes
Urban AC,Urban,No
Urban Contemporary Gospel,Religious,No
Gospel,Religious,No
Gospel Broadcasting Network (GBN) programming,Religious,No
Christian (Bible Broadcasting Network),Religious,No
News/Talk/Gospel,Religious,No
"Classical Music, Public Radio",Classical,No
Urban oldies and Blues,Oldies,No
Variety Hits,Variety,No
Smooth Soul and R&B,R&B_Soul,No
Christian Talk,Religious,No
"Rhythmic Oldies, Blues, Gospel, and Talk",Variety,No
Jazz/Blues,Jazz,No
